"日期","收入预估~iPad"
"2022-12-13","27651"
"2022-12-12","47508"
"2022-12-11","36477"
"2022-12-10","60236"
"2022-12-09","25626"
"2022-12-08","30290"
"2022-12-07","21000"
"2022-12-06","26082"
"2022-12-05","28776"
"2022-12-04","18658"
"2022-12-03","26058"
"2022-12-02","34272"
"2022-12-01","45444"
"2022-11-30","45743"
"2022-11-29","71307"
"2022-11-28","60450"
"2022-11-27","60398"
"2022-11-26","60436"
"2022-11-25","27962"
"2022-11-24","29551"
"2022-11-23","30217"
"2022-11-22","50281"
"2022-11-21","62004"
"2022-11-20","61820"
"2022-11-19","61824"
"2022-11-18","62162"
"2022-11-17","60554"
"2022-11-16","60648"
"2022-11-15","60216"
"2022-11-14","60416"
"2022-11-13","60237"
"2022-11-12","60472"
"2022-11-11","16086"
"2022-11-10","17578"
"2022-11-09","25966"
"2022-11-08","25954"
"2022-11-07","25952"
"2022-11-06","30122"
"2022-11-05","30223"
"2022-11-04","26132"
"2022-11-03","26051"
"2022-11-02","30091"
"2022-11-01","30152"
"2022-10-31","34373"
"2022-10-30","29378"
"2022-10-29","0"
"2022-10-28","54825"
"2022-10-27","47907"
"2022-10-26","28954"
"2022-10-25","33429"
"2022-10-24","30641"
"2022-10-23","32378"
"2022-10-22","35119"
"2022-10-21","28799"
"2022-10-20","30982"
"2022-10-19","34208"
"2022-10-18","30077"
"2022-10-17","30321"
"2022-10-16","30904"
"2022-10-15","26028"
"2022-10-14","35391"
"2022-10-13","34232"
"2022-10-12","30190"
"2022-10-11","34210"
"2022-10-10","34312"
"2022-10-09","39655"
"2022-10-08","34174"
"2022-10-07","29178"
"2022-10-06","20743"
"2022-10-05","16264"
"2022-10-04","25144"
"2022-10-03","17278"
"2022-10-02","25152"
"2022-10-01","17509"
"2022-09-30","23277"
"2022-09-29","47135"
"2022-09-28","72568"
"2022-09-27","56877"
"2022-09-26","56744"
"2022-09-25","21182"
"2022-09-24","28197"
"2022-09-23","25965"
"2022-09-22","30287"
"2022-09-21","47397"
"2022-09-20","45409"
"2022-09-19","42093"
"2022-09-18","61866"
"2022-09-17","78947"
"2022-09-16","13755"
"2022-09-15","18042"
"2022-09-14","25986"
"2022-09-13","24479"
"2022-09-12","20034"
"2022-09-11","16085"
"2022-09-10","33477"
"2022-09-09","26116"
"2022-09-08","26007"
"2022-09-07","34354"
"2022-09-06","34217"
"2022-09-05","25947"
"2022-09-04","26060"
"2022-09-03","26014"
"2022-09-02","15410"
"2022-09-01","14785"
"2022-08-31","19467"
"2022-08-30","26025"
"2022-08-29","20996"
"2022-08-28","30320"
"2022-08-27","27999"
"2022-08-26","23366"
"2022-08-25","26159"
"2022-08-24","35343"
"2022-08-23","30765"
"2022-08-22","25956"
"2022-08-21","26128"
"2022-08-20","30036"
"2022-08-19","13457"
"2022-08-18","16674"
"2022-08-17","17049"
"2022-08-16","26143"
"2022-08-15","30061"
"2022-08-14","34287"
"2022-08-13","56694"
"2022-08-12","15376"
"2022-08-11","16105"
"2022-08-10","18538"
"2022-08-09","15420"
"2022-08-08","16157"
"2022-08-07","16184"
"2022-08-06","16177"
"2022-08-05","17587"
"2022-08-04","9774"
"2022-08-03","15434"
"2022-08-02","17550"
"2022-08-01","21899"
"2022-07-31","21912"
"2022-07-30","25972"
"2022-07-29","16144"
"2022-07-28","17590"
"2022-07-27","21937"
"2022-07-26","22212"
"2022-07-25","22931"
"2022-07-24","30183"
"2022-07-23","21069"
"2022-07-22","43378"
"2022-07-21","34301"
"2022-07-20","34382"
"2022-07-19","44650"
"2022-07-18","55509"
"2022-07-17","62135"
"2022-07-16","61871"
"2022-07-15","8381"
"2022-07-14","12338"
"2022-07-13","17454"
"2022-07-12","23154"
"2022-07-11","16041"
"2022-07-10","14657"
"2022-07-09","18474"
"2022-07-08","21705"
"2022-07-07","25951"
"2022-07-06","21662"
"2022-07-05","16086"
"2022-07-04","12379"
"2022-07-03","12332"
"2022-07-02","13629"
"2022-07-01","18764"
"2022-06-30","30254"
"2022-06-29","16475"
"2022-06-28","17577"
"2022-06-27","38810"
"2022-06-26","26079"
"2022-06-25","25924"
"2022-06-24","26109"
"2022-06-23","25947"
"2022-06-22","43112"
"2022-06-21","21811"
"2022-06-20","34254"
"2022-06-19","34412"
"2022-06-18","34406"
"2022-06-17","17041"
"2022-06-16","22287"
"2022-06-15","30208"
"2022-06-14","30101"
"2022-06-13","34244"
"2022-06-12","34249"
"2022-06-11","34330"
"2022-06-10","34199"
"2022-06-09","34330"
"2022-06-08","34191"
"2022-06-07","25951"
"2022-06-06","26121"
"2022-06-05","25920"
"2022-06-04","45380"
"2022-06-03","34213"
"2022-06-02","26049"
"2022-06-01","34208"
"2022-05-31","34398"
"2022-05-30","21898"
"2022-05-29","21707"
"2022-05-28","26123"
"2022-05-27","30249"
"2022-05-26","20751"
"2022-05-25","25950"
"2022-05-24","20654"
"2022-05-23","21859"
"2022-05-22","56818"
"2022-05-21","57035"
"2022-05-20","34239"
"2022-05-19","34200"
"2022-05-18","44925"
"2022-05-17","17763"
"2022-05-16","8645"
"2022-05-15","14752"
"2022-05-14","17030"
"2022-05-13","11660"
"2022-05-12","14499"
"2022-05-11","21722"
"2022-05-10","21910"
"2022-05-09","22847"
"2022-05-08","12095"
"2022-05-07","18679"
"2022-05-06","18573"
