Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
0.9268494,0.018260533,0.018401245,0.018280193,0.018208575
0.03383163,0.03367423,0.8651793,0.033981413,0.033333436
0.008369439,0.8143243,0.1604492,0.008379823,0.008477222
0.13638003,0.3002663,0.53926516,0.012304783,0.011783733
0.014379763,0.5875533,0.22614467,0.086150154,0.08577209
0.9496088,0.012563082,0.012658071,0.012669596,0.012500423
0.15316999,0.009609206,0.009601064,0.81808317,0.009536564
0.93825054,0.015420107,0.015516355,0.015428318,0.015384688
0.8569557,0.010614638,0.11132048,0.01057349,0.010535742
0.009581518,0.914585,0.009629598,0.056474026,0.009729846
0.013406109,0.0133985225,0.8551851,0.10464314,0.013367091
0.025052447,0.7747955,0.02515493,0.1499456,0.025051538
0.01841658,0.018722117,0.71688145,0.22769196,0.018287828
0.015567099,0.015555194,0.015764453,0.7130916,0.2400217
0.012889647,0.8607383,0.012682849,0.1011725,0.012516725
0.02251032,0.022394842,0.6284033,0.30439484,0.022296721
0.020316742,0.020234935,0.02048257,0.7189063,0.22005945
0.959582,0.010107271,0.010165405,0.010130728,0.010014657
0.006303434,0.7628772,0.21821932,0.006281433,0.006318569
0.02598321,0.025490759,0.025930395,0.64753056,0.27506506
0.8765553,0.00916158,0.009254303,0.095923,0.009105798
0.21206363,0.022455383,0.23821522,0.28240994,0.24485584
0.9419946,0.014410212,0.0145180365,0.014790018,0.014287119
0.9522052,0.012053315,0.011978368,0.011994811,0.011768306
0.94265723,0.014323135,0.014396639,0.014330396,0.0142926285
0.91017056,0.022381976,0.022804983,0.022419933,0.02222257
0.83507216,0.009121171,0.009389743,0.13731816,0.0090988055
0.94622195,0.013431189,0.013430232,0.013575943,0.013340659
0.942486,0.0143506825,0.014508914,0.014365101,0.014289304
0.009859975,0.9610405,0.009670471,0.009893639,0.009535472
0.83904916,0.12702003,0.011283326,0.011494643,0.011152806
