"日期","1星","2星","3星","4星","5星"
"2022-07-13","862","16","37","15","61"
"2022-07-14","1064","40","47","26","86"
"2022-07-15","1116","36","32","24","73"
"2022-07-16","533","18","15","2","51"
"2022-07-17","1038","31","40","7","103"
"2022-07-18","-284","22","15","0","49"
"2022-07-19","798","31","25","6","77"
"2022-07-20","991","38","31","22","45"
"2022-07-21","790","19","19","11","42"
"2022-07-22","982","57","30","12","69"
"2022-07-23","745","24","21","9","36"
"2022-07-24","839","24","16","24","35"
"2022-07-25","814","28","26","8","68"
"2022-07-26","809","25","35","11","76"
"2022-07-27","768","7","18","15","54"
"2022-07-28","955","37","18","27","53"
"2022-07-29","891","29","39","16","85"
"2022-07-30","985","29","22","7","45"
"2022-07-31","683","14","27","10","62"
"2022-08-01","942","27","46","15","54"
"2022-08-02","1030","48","28","12","91"
"2022-08-03","1112","29","30","14","73"
"2022-08-04","1063","41","32","18","62"
"2022-08-05","966","32","28","6","54"
"2022-08-06","955","35","23","18","52"
"2022-08-07","969","25","24","21","64"
"2022-08-08","763","18","26","12","42"
"2022-08-09","1305","36","38","12","47"
"2022-08-10","800","24","13","7","44"
"2022-08-11","1840","79","32","30","92"
"2022-08-12","896","34","22","8","47"
"2022-08-13","860","37","18","19","40"
"2022-08-14","962","44","30","12","58"
"2022-08-15","892","47","40","19","58"
"2022-08-16","927","34","27","26","73"
"2022-08-17","962","30","21","9","81"
"2022-08-18","773","-1","23","20","30"
"2022-08-19","826","15","32","15","58"
"2022-08-20","811","28","26","12","72"
"2022-08-21","614","16","18","9","7"
"2022-08-22","2188","3","-9","-9","70"
"2022-08-23","2595","34","14","-4","158"
"2022-08-24","3997","80","25","61","1290"
"2022-08-25","20095","509","340","268","3866"
"2022-08-26","3008","109","81","45","419"
"2022-08-27","1541","32","24","10","197"
"2022-08-28","1075","26","18","16","156"
"2022-08-29","700","19","19","10","97"
"2022-08-30","1121","23","31","22","125"
"2022-08-31","570","15","17","6","90"
"2022-09-01","565","19","13","7","88"
"2022-09-02","1151","19","23","17","155"
"2022-09-03","1009","36","21","18","162"
"2022-09-04","751","24","12","9","132"
"2022-09-05","462","26","15","6","66"
"2022-09-06","506","12","16","6","77"
"2022-09-07","611","25","21","8","105"
"2022-09-08","314","14","8","7","56"
"2022-09-09","648","15","20","13","124"
"2022-09-10","827","21","28","25","152"
"2022-09-11","1055","34","30","26","129"
"2022-09-12","543","21","18","16","92"
"2022-09-13","201","9","10","7","63"
"2022-09-14","253","11","10","11","38"
"2022-09-15","442","2","8","5","57"
"2022-09-16","268","11","3","13","57"
"2022-09-17","590","26","13","21","127"
"2022-09-18","533","14","10","4","144"
"2022-09-19","262","9","11","7","40"
"2022-09-20","158","9","3","2","37"
"2022-09-21","382","8","-1","5","62"
"2022-09-22","563","28","22","25","135"
"2022-09-23","731","32","52","33","221"
"2022-09-24","557","46","20","27","159"
"2022-09-25","840","32","36","13","155"
"2022-09-26","207","6","7","3","26"
"2022-09-27","327","4","5","10","55"
"2022-09-28","169","11","12","6","47"
"2022-09-29","162","3","8","6","26"
"2022-09-30","414","8","12","6","77"
"2022-10-01","697","18","30","19","153"
"2022-10-02","590","25","28","11","103"
"2022-10-03","689","24","28","15","107"
"2022-10-04","621","14","10","17","80"
"2022-10-05","580","29","27","16","77"
"2022-10-06","692","21","23","10","92"
"2022-10-07","422","7","19","9","69"
"2022-10-08","237","2","7","9","35"
"2022-10-09","238","11","12","0","41"
"2022-10-10","188","8","8","4","40"
"2022-10-11","245","12","10","14","34"
"2022-10-12","210","6","7","3","44"
"2022-10-13","323","19","5","10","60"
"2022-10-14","119","4","12","3","47"
"2022-10-15","-48","-4","-2","-3","-14"
"2022-10-16","-32","-2","-2","-2","-10"
"2022-10-17","-35","0","-2","-1","-8"
"2022-10-18","1","-1","0","0","-2"
"2022-10-19","-86","-1","-2","-1","-10"
"2022-10-20","-33","-2","-2","-1","-16"
"2022-10-21","-45","-3","-2","-2","-18"
"2022-10-22","-45","-2","-5","0","-29"
"2022-10-23","-45","-5","-5","-6","-11"
