ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ
2022/1/27,32,3,10,6,36
2022/1/28,19,1,4,7,36
2022/1/29,38,4,6,4,45
2022/1/30,38,2,8,2,25
2022/1/31,12,2,4,4,29
2022/2/1,18,4,2,5,16
2022/2/2,18,0,3,5,36
2022/2/3,11,4,4,1,25
2022/2/4,26,5,7,7,37
2022/2/5,9,1,1,7,27
2022/2/6,13,5,6,5,44
2022/2/7,17,3,4,4,29
2022/2/8,18,3,2,10,26
2022/2/9,17,1,5,3,31
2022/2/10,19,2,3,4,39
2022/2/11,14,1,1,4,20
2022/2/12,15,1,2,7,32
2022/2/13,20,1,4,2,26
2022/2/14,5,2,1,5,18
2022/2/15,14,1,4,5,16
2022/2/16,8,2,6,4,19
2022/2/17,14,2,4,3,17
2022/2/18,12,1,0,1,15
2022/2/19,21,5,4,2,31
2022/2/20,5,5,2,0,20
2022/2/21,8,0,2,2,10
2022/2/22,11,1,0,1,8
2022/2/23,8,1,0,2,15
2022/2/24,4,1,2,2,13
2022/2/25,12,0,1,5,15
2022/2/26,4,1,2,1,23
2022/2/27,17,3,5,1,35
2022/2/28,5,0,0,1,2
2022/3/1,8,0,0,0,10
2022/3/2,8,2,1,0,7
2022/3/3,-1,0,0,0,0
2022/3/4,0,0,0,0,0
2022/3/5,0,0,0,0,0
2022/3/6,0,0,0,0,0
2022/3/7,2,0,1,2,6
2022/3/8,12,0,10,25,110
2022/3/9,7,2,12,18,86
2022/3/10,10,4,4,15,77
2022/3/11,6,2,2,9,60
2022/3/12,27,3,6,14,113
2022/3/13,8,-1,5,5,72
