"日期","1星","2星","3星","4星","5星"
"2021-07-10","17","3","3","10","40"
"2021-07-11","7","3","0","7","33"
"2021-07-12","2","1","3","6","30"
"2021-07-13","5","-1","1","9","32"
"2021-07-14","-1","3","4","7","28"
"2021-07-15","7","3","3","6","25"
"2021-07-16","7","4","4","6","42"
"2021-07-17","5","2","6","4","48"
"2021-07-18","14","0","4","6","32"
"2021-07-19","6","4","2","13","19"
"2021-07-20","1","0","0","9","38"
"2021-07-21","8","2","3","12","33"
"2021-07-22","10","-1","3","3","33"
"2021-07-23","2","1","7","9","29"
"2021-07-24","4","1","1","2","25"
"2021-07-25","5","0","6","6","36"
"2021-07-26","-1","0","3","9","37"
"2021-07-27","1","0","7","8","35"
"2021-07-28","6","3","3","9","36"
"2021-07-29","12","1","7","5","25"
"2021-07-30","7","0","6","8","30"
"2021-07-31","1","4","5","8","30"
"2021-08-01","8","5","9","12","37"
"2021-08-02","3","5","6","4","33"
"2021-08-03","3","1","-1","1","17"
"2021-08-04","8","5","3","2","8"
"2021-08-05","7","6","4","0","31"
"2021-08-06","7","2","3","9","31"
"2021-08-07","4","1","4","4","18"
"2021-08-08","13","7","6","0","24"
"2021-08-09","7","7","1","5","18"
"2021-08-10","16","-2","0","8","27"
"2021-08-11","12","2","3","2","7"
"2021-08-12","11","6","5","8","8"
"2021-08-13","15","5","5","4","22"
"2021-08-14","12","3","-1","5","17"
"2021-08-15","14","7","5","4","22"
"2021-08-16","9","4","6","3","12"
"2021-08-17","13","3","2","3","18"
"2021-08-18","16","3","3","4","29"
"2021-08-19","11","5","7","7","38"
"2021-08-20","7","6","3","5","25"
"2021-08-21","8","3","7","8","23"
"2021-08-22","5","6","-1","1","18"
"2021-08-23","14","7","5","1","18"
"2021-08-24","10","6","6","7","10"
"2021-08-25","7","1","6","10","8"
"2021-08-26","13","0","12","7","27"
"2021-08-27","9","4","10","3","22"
"2021-08-28","13","5","6","5","16"
"2021-08-29","6","2","0","7","19"
"2021-08-30","6","2","-1","0","13"
"2021-08-31","3","2","2","6","59"
"2021-09-01","10","5","9","10","47"
"2021-09-02","-3","4","1","4","20"
"2021-09-03","23","4","4","3","54"
"2021-09-04","64","15","17","8","102"
"2021-09-05","28","8","9","8","117"
"2021-09-06","10","1","1","0","41"
"2021-09-07","2","1","3","1","33"
"2021-09-08","7","1","0","2","35"
"2021-09-09","-1","3","1","3","23"
"2021-09-10","10","0","0","4","24"
"2021-09-11","27","3","2","8","61"
"2021-09-12","22","2","0","18","62"
"2021-09-13","4","1","3","-3","18"
"2021-09-14","2","1","3","0","7"
"2021-09-15","5","-2","2","2","14"
"2021-09-16","2","2","0","-1","8"
"2021-09-17","5","0","-3","1","10"
"2021-09-18","13","-1","5","-1","6"
"2021-09-19","47","3","19","11","82"
