"日期","收入预估~iPhone"
"2023-01-04","496225"
"2023-01-03","586986"
"2023-01-02","694311"
"2023-01-01","342080"
"2022-12-31","212621"
"2022-12-30","267043"
"2022-12-29","324351"
"2022-12-28","376593"
"2022-12-27","377277"
"2022-12-26","335479"
"2022-12-25","298480"
"2022-12-24","300514"
"2022-12-23","355664"
"2022-12-22","454691"
"2022-12-21","528219"
"2022-12-20","585887"
"2022-12-19","621769"
"2022-12-18","676444"
"2022-12-17","1000501"
"2022-12-16","1495873"
"2022-12-15","829509"
"2022-12-14","446750"
"2022-12-13","526676"
"2022-12-12","575242"
"2022-12-11","645505"
"2022-12-10","791262"
"2022-12-09","700583"
"2022-12-08","575411"
"2022-12-07","423251"
"2022-12-06","427870"
"2022-12-05","518112"
"2022-12-04","535075"
"2022-12-03","527986"
"2022-12-02","705807"
"2022-12-01","579769"
"2022-11-30","590568"
"2022-11-29","625102"
"2022-11-28","887087"
"2022-11-27","963173"
"2022-11-26","1254113"
"2022-11-25","1067893"
"2022-11-24","468784"
"2022-11-23","557948"
"2022-11-22","689668"
"2022-11-21","901326"
"2022-11-20","1077681"
"2022-11-19","1144457"
"2022-11-18","1066086"
"2022-11-17","936649"
"2022-11-16","871947"
"2022-11-15","890636"
"2022-11-14","927988"
"2022-11-13","1039551"
"2022-11-12","1090284"
"2022-11-11","730868"
"2022-11-10","522837"
"2022-11-09","532251"
"2022-11-08","542142"
"2022-11-07","567205"
"2022-11-06","578162"
"2022-11-05","582960"
"2022-11-04","537514"
"2022-11-03","507975"
"2022-11-02","580810"
"2022-11-01","600702"
"2022-10-31","622845"
"2022-10-30","719635"
"2022-10-29","687811"
"2022-10-28","1523781"
"2022-10-27","1205936"
"2022-10-26","718769"
"2022-10-25","721099"
"2022-10-24","719652"
"2022-10-23","1256207"
"2022-10-22","1515673"
"2022-10-21","516134"
"2022-10-20","571525"
"2022-10-19","533540"
"2022-10-18","563836"
"2022-10-17","626553"
"2022-10-16","533326"
"2022-10-15","609393"
"2022-10-14","592972"
"2022-10-13","518520"
"2022-10-12","493909"
"2022-10-11","567267"
"2022-10-10","650592"
"2022-10-09","780017"
"2022-10-08","621834"
"2022-10-07","544856"
"2022-10-06","544399"
"2022-10-05","550169"
"2022-10-04","560169"
"2022-10-03","567451"
"2022-10-02","561092"
"2022-10-01","623982"
"2022-09-30","643749"
"2022-09-29","767158"
"2022-09-28","1238451"
"2022-09-27","1535846"
"2022-09-26","1678421"
"2022-09-25","1058293"
"2022-09-24","539247"
"2022-09-23","549014"
"2022-09-22","563577"
"2022-09-21","656693"
"2022-09-20","847203"
"2022-09-19","1157575"
"2022-09-18","1585906"
"2022-09-17","1722257"
"2022-09-16","779368"
"2022-09-15","334778"
"2022-09-14","440588"
"2022-09-13","506787"
"2022-09-12","506622"
"2022-09-11","535171"
"2022-09-10","523269"
"2022-09-09","483299"
"2022-09-08","433289"
"2022-09-07","502980"
"2022-09-06","532240"
"2022-09-05","526311"
"2022-09-04","508426"
"2022-09-03","540563"
"2022-09-02","360308"
"2022-09-01","315490"
"2022-08-31","374869"
"2022-08-30","443430"
"2022-08-29","509006"
"2022-08-28","541212"
"2022-08-27","600804"
"2022-08-26","529166"
"2022-08-25","410061"
"2022-08-24","497194"
"2022-08-23","547922"
"2022-08-22","573742"
"2022-08-21","604789"
"2022-08-20","658038"
"2022-08-19","552798"
"2022-08-18","355186"
"2022-08-17","444075"
"2022-08-16","536630"
"2022-08-15","660795"
"2022-08-14","843588"
"2022-08-13","894321"
"2022-08-12","539025"
"2022-08-11","460331"
"2022-08-10","510063"
"2022-08-09","419371"
"2022-08-08","389116"
"2022-08-07","396211"
"2022-08-06","438956"
"2022-08-05","452272"
"2022-08-04","371821"
"2022-08-03","322920"
"2022-08-02","429285"
"2022-08-01","489254"
"2022-07-31","501609"
"2022-07-30","481785"
"2022-07-29","449001"
"2022-07-28","295354"
"2022-07-27","369713"
"2022-07-26","408273"
"2022-07-25","416232"
"2022-07-24","431316"
"2022-07-23","418269"
"2022-07-22","461452"
"2022-07-21","603991"
"2022-07-20","686284"
"2022-07-19","747750"
"2022-07-18","859192"
"2022-07-17","1072011"
"2022-07-16","1080211"
"2022-07-15","555967"
"2022-07-14","243065"
"2022-07-13","342315"
"2022-07-12","452584"
"2022-07-11","525743"
"2022-07-10","427104"
"2022-07-09","380410"
"2022-07-08","450490"
"2022-07-07","571115"
"2022-07-06","506816"
"2022-07-05","391067"
"2022-07-04","317177"
"2022-07-03","295858"
"2022-07-02","331961"
"2022-07-01","447732"
"2022-06-30","567789"
"2022-06-29","356486"
"2022-06-28","330031"
"2022-06-27","416848"
"2022-06-26","424917"
"2022-06-25","459954"
"2022-06-24","398308"
"2022-06-23","375031"
"2022-06-22","477989"
"2022-06-21","508643"
"2022-06-20","485620"
"2022-06-19","556677"
"2022-06-18","657768"
"2022-06-17","602952"
"2022-06-16","428756"
"2022-06-15","491857"
"2022-06-14","512221"
"2022-06-13","574267"
"2022-06-12","662911"
"2022-06-11","943842"
"2022-06-10","964984"
"2022-06-09","623394"
"2022-06-08","618845"
"2022-06-07","589553"
"2022-06-06","603831"
"2022-06-05","654157"
"2022-06-04","753001"
"2022-06-03","904668"
"2022-06-02","708091"
"2022-06-01","651382"
"2022-05-31","637616"
"2022-05-30","630459"
"2022-05-29","629639"
"2022-05-28","675897"
"2022-05-27","713734"
"2022-05-26","646063"
"2022-05-25","623596"
"2022-05-24","643945"
"2022-05-23","597744"
"2022-05-22","723481"
"2022-05-21","943350"
"2022-05-20","923591"
"2022-05-19","827700"
"2022-05-18","1083482"
"2022-05-17","579454"
"2022-05-16","210645"
"2022-05-15","241847"
"2022-05-14","297473"
"2022-05-13","347205"
"2022-05-12","395883"
"2022-05-11","490275"
"2022-05-10","532196"
"2022-05-09","599029"
"2022-05-08","490071"
"2022-05-07","340287"
"2022-05-06","373828"
"2022-05-05","399599"
"2022-05-04","415123"
"2022-05-03","443390"
"2022-05-02","499298"
"2022-05-01","677504"
"2022-04-30","871159"
"2022-04-29","400782"
"2022-04-28","399946"
"2022-04-27","525257"
"2022-04-26","565560"
"2022-04-25","500637"
"2022-04-24","387582"
"2022-04-23","431952"
"2022-04-22","345765"
"2022-04-21","246962"
"2022-04-20","285747"
"2022-04-19","355620"
"2022-04-18","382443"
"2022-04-17","419381"
"2022-04-16","514349"
"2022-04-15","660682"
"2022-04-14","513211"
"2022-04-13","471604"
"2022-04-12","533167"
"2022-04-11","568550"
"2022-04-10","607389"
"2022-04-09","666725"
"2022-04-08","613049"
"2022-04-07","470876"
"2022-04-06","521314"
"2022-04-05","590693"
"2022-04-04","652773"
"2022-04-03","698842"
"2022-04-02","960672"
"2022-04-01","641074"
"2022-03-31","568245"
"2022-03-30","654898"
"2022-03-29","552393"
"2022-03-28","438708"
"2022-03-27","511771"
"2022-03-26","588501"
"2022-03-25","751227"
"2022-03-24","659939"
"2022-03-23","611143"
"2022-03-22","628189"
"2022-03-21","540325"
"2022-03-20","526280"
"2022-03-19","526083"
"2022-03-18","408128"
"2022-03-17","430730"
"2022-03-16","500264"
"2022-03-15","585270"
"2022-03-14","639513"
"2022-03-13","594355"
"2022-03-12","577153"
"2022-03-11","426533"
"2022-03-10","278134"
"2022-03-09","382086"
"2022-03-08","524351"
"2022-03-07","549410"
"2022-03-06","639149"
"2022-03-05","863289"
"2022-03-04","664078"
"2022-03-03","275474"
"2022-03-02","340678"
"2022-03-01","429304"
"2022-02-28","536038"
"2022-02-27","593347"
"2022-02-26","685072"
"2022-02-25","528210"
"2022-02-24","285503"
"2022-02-23","322912"
"2022-02-22","381996"
"2022-02-21","440105"
"2022-02-20","550072"
"2022-02-19","431492"
"2022-02-18","370476"
"2022-02-17","560426"
"2022-02-16","761617"
"2022-02-15","686290"
"2022-02-14","744828"
"2022-02-13","834590"
"2022-02-12","639954"
"2022-02-11","581528"
"2022-02-10","639363"
"2022-02-09","869875"
"2022-02-08","1036760"
"2022-02-07","1046498"
"2022-02-06","1030530"
"2022-02-05","978735"
"2022-02-04","815105"
"2022-02-03","890316"
"2022-02-02","941902"
"2022-02-01","1098829"
"2022-01-31","1293264"
"2022-01-30","1161517"
"2022-01-29","1109338"
"2022-01-28","752066"
"2022-01-27","766964"
"2022-01-26","589877"
"2022-01-25","618775"
"2022-01-24","679932"
"2022-01-23","760802"
"2022-01-22","956422"
"2022-01-21","1292585"
"2022-01-20","791732"
"2022-01-19","565677"
"2022-01-18","605160"
"2022-01-17","622981"
"2022-01-16","690758"
"2022-01-15","776601"
"2022-01-14","886419"
"2022-01-13","1136126"
"2022-01-12","1382948"
"2022-01-11","1578589"
"2022-01-10","2341487"
"2022-01-09","990453"
"2022-01-08","529734"
"2022-01-07","521692"
"2022-01-06","615687"
"2022-01-05","746034"
"2022-01-04","683731"
"2022-01-03","578828"
"2022-01-02","650475"
"2022-01-01","949761"
"2021-12-31","1158627"
"2021-12-30","978873"
"2021-12-29","782121"
"2021-12-28","832390"
"2021-12-27","927634"
"2021-12-26","1093376"
"2021-12-25","1301591"
"2021-12-24","1273044"
"2021-12-23","1082276"
"2021-12-22","817975"
"2021-12-21","758901"
"2021-12-20","887878"
"2021-12-19","965974"
"2021-12-18","1084817"
"2021-12-17","646339"
"2021-12-16","712927"
"2021-12-15","699962"
"2021-12-14","745563"
"2021-12-13","837723"
"2021-12-12","846565"
"2021-12-11","977214"
"2021-12-10","889943"
"2021-12-09","711308"
"2021-12-08","765136"
"2021-12-07","803121"
"2021-12-06","819018"
"2021-12-05","1083299"
"2021-12-04","923224"
"2021-12-03","659381"
"2021-12-02","825798"
"2021-12-01","895538"
"2021-11-30","994018"
"2021-11-29","827091"
"2021-11-28","726297"
"2021-11-27","824278"
"2021-11-26","809271"
"2021-11-25","720946"
"2021-11-24","890551"
"2021-11-23","1141535"
"2021-11-22","1205470"
"2021-11-21","1145970"
"2021-11-20","1333260"
"2021-11-19","1325290"
"2021-11-18","1032091"
"2021-11-17","1122451"
"2021-11-16","1224321"
