ÈÕÆÚ,1ÐÇ,2ÐÇ,3ÐÇ,4ÐÇ,5ÐÇ,
2021/3/29,0,0,3,1,16,4.65
2021/3/30,4,0,0,0,14,4.111111111
2021/3/31,3,0,1,1,9,3.928571429
2021/4/1,7,0,1,3,26,4.108108108
2021/4/2,4,1,2,3,24,4.235294118
2021/4/3,16,1,3,11,50,3.962962963
2021/4/4,13,2,3,1,30,3.673469388
2021/4/5,14,3,5,3,36,3.721311475
2021/4/6,1,0,1,3,14,4.526315789
2021/4/7,3,0,0,0,10,4.076923077
2021/4/8,4,1,1,4,24,4.264705882
2021/4/9,4,1,1,0,18,4.125
2021/4/10,14,3,2,6,33,3.706896552
2021/4/11,13,2,3,3,22,3.441860465
2021/4/12,1,1,1,1,7,4.090909091
2021/4/13,1,1,1,0,15,4.5
2021/4/14,0,1,0,1,-8,5.666666667
2021/4/15,9,1,2,5,16,3.545454545
2021/4/16,5,0,1,3,9,3.611111111
2021/4/17,8,0,5,3,38,4.166666667
2021/4/18,7,2,5,2,23,3.820512821
2021/4/19,1,0,3,2,6,4
2021/4/20,0,0,0,1,8,4.888888889
2021/4/21,6,0,1,2,11,3.6
2021/4/22,7,0,1,3,9,3.35
2021/4/23,2,1,0,0,9,4.083333333
2021/4/24,11,2,5,2,24,3.590909091
2021/4/25,5,3,3,1,14,3.615384615
2021/4/26,4,0,0,1,3,2.875
2021/4/27,2,0,1,3,10,4.1875
2021/4/28,4,1,1,0,6,3.25
2021/4/29,3,1,2,3,7,3.625
2021/4/30,3,3,1,1,4,3
2021/5/1,12,3,0,7,36,3.896551724
2021/5/2,7,2,5,2,27,3.930232558
2021/5/3,10,2,4,7,22,3.644444444
2021/5/4,8,1,1,2,30,4.071428571
2021/5/5,8,1,3,1,21,3.764705882
2021/5/6,3,0,0,1,5,3.555555556
2021/5/7,4,1,1,0,8,3.5
2021/5/8,7,1,-1,0,13,3.55
2021/5/9,2,0,2,2,27,4.575757576
2021/5/10,3,0,0,0,8,3.909090909
2021/5/11,3,1,0,0,4,3.125
2021/5/12,4,0,1,2,13,4
2021/5/13,3,1,3,11,90,4.703703704
2021/5/14,7,3,8,22,187,4.669603524
2021/5/15,9,3,11,20,175,4.600917431
2021/5/16,11,3,9,12,146,4.541436464
2021/5/17,3,3,7,16,63,4.445652174
2021/5/18,4,1,1,19,122,4.727891156
2021/5/19,3,1,2,2,6,3.5
2021/5/20,1,2,0,1,11,4.266666667
2021/5/21,5,1,1,2,12,3.714285714
2021/5/22,13,2,6,3,21,3.377777778
2021/5/23,2,1,0,6,18,4.37037037
2021/5/24,2,0,0,0,8,4.2
2021/5/25,-1,1,2,1,2,4.2
2021/5/26,2,0,0,2,0,2.5
2021/5/27,2,2,0,0,9,3.923076923
2021/5/28,4,0,1,1,17,4.173913043
2021/5/29,11,0,3,1,32,3.914893617
2021/5/30,12,2,4,1,36,3.854545455
2021/5/31,2,0,0,2,5,3.888888889
2021/6/1,5,0,0,1,3,2.666666667
2021/6/2,8,0,2,0,10,3.2
2021/6/3,1,0,0,0,-1,#DIV/0!
2021/6/4,0,0,0,0,0,#DIV/0!
2021/6/5,2,1,2,1,14,4.2
2021/6/6,11,1,1,6,24,3.720930233
2021/6/7,3,0,2,1,8,3.785714286
2021/6/8,2,1,0,2,4,3.555555556
2021/6/9,3,0,1,1,13,4.166666667
2021/6/10,6,0,1,0,4,2.636363636
2021/6/11,2,1,1,1,8,3.923076923
2021/6/12,5,1,0,5,30,4.317073171
2021/6/13,4,1,1,2,31,4.41025641
2021/6/14,11,0,1,6,31,3.93877551
2021/6/15,1,0,1,0,7,4.333333333
2021/6/16,2,0,0,2,12,4.375
2021/6/17,5,1,8,22,136,4.645348837
2021/6/18,8,5,15,29,161,4.513761468
2021/6/19,6,2,6,13,143,4.676470588
2021/6/20,13,2,10,16,129,4.447058824
2021/6/21,5,3,4,24,69,4.419047619
2021/6/22,5,1,4,19,98,4.606299213
2021/6/23,4,1,0,3,11,3.842105263
2021/6/24,4,3,7,8,121,4.671328671
2021/6/25,7,1,12,34,183,4.624472574
2021/6/26,8,2,7,21,186,4.674107143
2021/6/27,14,4,6,20,145,4.470899471
2021/6/28,8,0,10,15,97,4.484615385
2021/6/29,7,3,4,7,47,4.235294118
2021/6/30,-1,0,0,0,0,1
2021/7/1,-1,-1,0,0,0,1.5
2021/7/2,10,0,4,6,24,3.772727273
2021/7/3,12,1,3,2,22,3.525
2021/7/4,4,0,2,1,23,4.3
2021/7/5,7,0,2,2,20,3.903225806
2021/7/6,8,6,2,3,24,3.674418605
2021/7/7,5,2,4,2,24,4.027027027
2021/7/8,8,0,0,7,17,3.78125
2021/7/9,2,3,2,6,38,4.470588235
2021/7/10,7,2,4,1,25,3.897435897
2021/7/11,9,0,3,2,20,3.705882353
2021/7/12,9,1,3,2,30,3.955555556
2021/7/13,4,1,1,3,15,4
2021/7/14,6,1,2,4,20,3.939393939
2021/7/15,21,3,4,9,35,3.472222222
2021/7/16,11,2,4,1,26,3.659090909
2021/7/17,12,1,3,10,32,3.844827586
2021/7/18,9,-1,2,4,22,3.861111111
2021/7/19,8,1,1,4,35,4.163265306
2021/7/20,13,0,2,4,24,3.604651163
2021/7/21,8,4,1,5,31,3.959183673
2021/7/22,12,3,6,5,26,3.576923077
2021/7/23,7,1,3,4,27,4.023809524
2021/7/24,7,3,3,4,38,4.145454545
2021/7/25,4,1,2,4,22,4.181818182
2021/7/26,14,2,7,6,32,3.655737705
2021/7/27,10,3,5,8,39,3.969230769
2021/7/28,9,2,5,6,28,3.84
2021/7/29,12,3,3,3,35,3.821428571
2021/7/30,8,1,4,5,19,3.702702703
2021/7/31,4,0,4,6,16,4
2021/8/1,7,3,7,6,39,4.080645161
2021/8/2,10,4,5,3,33,3.818181818
2021/8/3,3,2,0,4,20,4.24137931
2021/8/4,11,2,2,6,37,3.965517241
2021/8/5,10,1,14,36,268,4.674772036
2021/8/6,18,5,20,49,305,4.556675063
2021/8/7,16,4,14,31,197,4.484732824
2021/8/8,18,3,3,3,24,3.235294118
2021/8/9,12,0,4,4,36,3.928571429
2021/8/10,7,2,7,5,30,3.960784314
2021/8/11,4,4,2,3,31,4.204545455
2021/8/12,14,1,7,7,39,3.823529412
2021/8/13,19,2,2,10,38,3.647887324
2021/8/14,15,3,5,2,28,3.471698113
2021/8/15,10,1,4,6,33,3.944444444
2021/8/16,23,1,1,6,35,3.439393939
2021/8/17,12,1,1,2,23,3.58974359
2021/8/18,10,3,5,7,36,3.918032787
2021/8/19,12,4,16,45,203,4.510714286
2021/8/20,32,5,20,57,370,4.504132231
2021/8/21,17,2,9,29,168,4.462222222
2021/8/22,8,1,4,6,38,4.140350877
2021/8/23,9,3,3,3,36,4
2021/8/24,6,3,3,5,35,4.153846154
2021/8/25,14,2,3,3,32,3.685185185
2021/8/26,18,4,20,47,229,4.462264151
