日期,一星,二星,三星,四星,五星,平均评分
2021/6/7,20,5,26,49,686,4.750636132
2021/6/8,19,4,12,25,290,4.608571429
2021/6/9,13,4,5,15,282,4.721003135
2021/6/10,7,10,4,25,266,4.708333333
2021/6/11,6,7,11,9,242,4.723636364
2021/6/12,19,-1,11,43,341,4.665859564
2021/6/13,36,5,14,54,897,4.760437376
2021/6/14,32,4,21,62,970,4.77594123
2021/6/15,30,9,29,78,832,4.710633947
2021/6/16,8,2,15,14,267,4.732026144
2021/6/17,15,1,-2,23,283,4.74375
2021/6/18,7,5,13,36,323,4.7265625
2021/6/19,17,9,6,38,369,4.669703872
2021/6/20,14,4,18,42,836,4.840262582
2021/6/21,26,4,7,51,648,4.754076087
2021/6/22,5,2,6,11,267,4.83161512
2021/6/23,9,-4,17,25,497,4.847426471
2021/6/24,20,8,1,35,357,4.665083135
2021/6/25,12,13,29,24,485,4.69982238
2021/6/26,20,-2,7,43,581,4.798151002
2021/6/27,26,11,31,77,879,4.73046875
2021/6/28,21,3,11,63,813,4.804610318
2021/6/29,24,7,11,29,577,4.740740741
2021/6/30,23,6,3,39,687,4.795514512
2021/7/1,18,-1,17,50,880,4.841286307
2021/7/2,30,9,23,55,860,4.74616172
2021/7/3,21,4,8,57,895,4.828426396
2021/7/4,11,11,26,53,1012,4.836477987
2021/7/5,32,6,24,60,947,4.762394761
2021/7/6,35,10,15,53,815,4.72737069
2021/7/7,33,12,16,61,851,4.731757451
2021/7/8,21,8,28,62,945,4.787593985
2021/7/9,50,10,26,61,848,4.655276382
2021/7/10,28,11,28,58,840,4.731606218
2021/7/11,30,16,20,62,851,4.724208376
2021/7/12,39,7,25,53,754,4.681093394
2021/7/13,30,12,25,39,922,4.761673152
2021/7/14,29,16,12,81,847,4.726903553
2021/7/15,49,11,15,56,782,4.654983571
2021/7/16,19,2,12,61,785,4.810011377
2021/7/17,22,7,18,53,844,4.790254237
2021/7/18,31,11,29,36,833,4.732978723
2021/7/19,33,9,17,80,847,4.723123732
2021/7/20,40,12,36,57,833,4.667689162
2021/7/21,23,4,21,68,797,4.765607886
2021/7/22,26,7,13,68,713,4.735187424
2021/7/23,36,13,38,39,746,4.658256881
2021/7/24,23,7,18,70,815,4.765273312
2021/7/25,24,12,21,69,880,4.758449304
2021/7/26,40,19,8,71,905,4.708533078
2021/7/27,27,16,25,58,885,4.738872404
2021/7/28,27,14,27,69,951,4.749080882
2021/7/29,26,22,27,64,848,4.708206687
2021/7/30,40,5,17,55,835,4.722689076
2021/7/31,23,4,28,71,806,4.752145923
2021/8/1,24,14,10,53,827,4.77262931
2021/8/2,36,8,26,69,812,4.696109359
2021/8/3,29,10,22,54,894,4.758176412
2021/8/4,41,6,16,41,859,4.735202492
2021/8/5,34,16,20,65,785,4.685869565
2021/8/6,36,9,15,78,911,4.734032412
2021/8/7,39,7,18,90,857,4.700296736
2021/8/8,35,8,18,80,1031,4.76109215
2021/8/9,30,19,27,69,918,4.717779868
2021/8/10,42,12,21,82,887,4.685823755
2021/8/11,46,8,21,75,857,4.677259186
2021/8/12,32,4,30,76,848,4.721212121
