日期,1星,2星,3星,4星,5星,abs1,abs2,abs3,abs4,abs5,平均评分
2020/11/17,1,1,1,0,18,1,1,1,0,18,4.571428571
2020/11/18,0,1,1,4,25,0,1,1,4,25,4.709677419
2020/11/19,5,4,2,5,18,5,4,2,5,18,3.794117647
2020/11/20,2,0,2,2,6,2,0,2,2,6,3.833333333
2020/11/21,9,-1,4,8,90,9,1,4,8,90,4.508928571
2020/11/22,0,4,2,9,31,0,4,2,9,31,4.456521739
2020/11/23,10,2,4,3,37,10,2,4,3,37,3.982142857
2020/11/24,0,0,0,1,5,0,0,0,1,5,4.833333333
2020/11/25,3,1,-1,5,20,3,1,1,5,20,4.266666667
2020/11/26,0,0,0,-2,10,0,0,0,2,10,4.833333333
2020/11/27,2,2,2,0,18,2,2,2,0,18,4.25
2020/11/28,5,1,6,14,61,5,1,6,14,61,4.436781609
2020/11/29,6,2,5,13,85,6,2,5,13,85,4.522522523
2020/11/30,5,1,1,1,23,5,1,1,1,23,4.161290323
2020/12/1,1,0,1,4,34,1,0,1,4,34,4.75
2020/12/2,0,0,-1,2,20,0,0,1,2,20,4.826086957
2020/12/3,2,0,3,6,22,2,0,3,6,22,4.393939394
2020/12/4,3,0,0,6,36,3,0,0,6,36,4.6
2020/12/5,8,0,6,12,107,8,0,6,12,107,4.578947368
2020/12/6,5,1,3,6,70,5,1,3,6,70,4.588235294
2020/12/7,3,0,1,9,38,3,0,1,9,38,4.549019608
2020/12/8,2,2,0,7,49,2,2,0,7,49,4.65
2020/12/9,0,0,0,8,25,0,0,0,8,25,4.757575758
2020/12/10,8,-1,5,11,35,8,1,5,11,35,4.066666667
2020/12/11,1,0,0,2,5,1,0,0,2,5,4.25
2020/12/12,8,0,10,14,122,8,0,10,14,122,4.571428571
2020/12/13,6,1,6,14,105,6,1,6,14,105,4.598484848
2020/12/14,0,1,3,0,21,0,1,3,0,21,4.64
2020/12/15,-1,0,2,3,5,1,0,2,3,5,4
2020/12/16,3,1,1,6,30,3,1,1,6,30,4.43902439
2020/12/17,2,1,1,3,16,2,1,1,3,16,4.304347826
2020/12/18,2,1,1,5,8,2,1,1,5,8,3.941176471
2020/12/19,1,4,8,15,74,1,4,8,15,74,4.539215686
2020/12/20,-1,1,3,6,71,1,1,3,6,71,4.768292683
2020/12/21,9,0,3,8,27,9,0,3,8,27,3.936170213
2020/12/22,0,-1,0,0,5,0,1,0,0,5,4.5
2020/12/23,6,-1,3,4,26,6,1,3,4,26,4.075
2020/12/24,4,-1,-1,2,27,4,1,1,2,27,4.342857143
2020/12/25,3,0,6,3,51,3,0,6,3,51,4.571428571
2020/12/26,1,-2,12,22,85,1,2,12,22,85,4.540983607
2020/12/27,7,2,8,26,132,7,2,8,26,132,4.565714286
2020/12/28,2,1,-2,5,40,2,1,2,5,40,4.6
2020/12/29,0,0,1,2,16,0,0,1,2,16,4.789473684
2020/12/30,8,1,2,9,60,8,1,2,9,60,4.4
2020/12/31,13,2,1,12,60,13,2,1,12,60,4.181818182
2021/1/1,13,2,5,16,188,13,2,5,16,188,4.625
2021/1/2,7,4,2,12,96,7,4,2,12,96,4.537190083
2021/1/3,8,2,13,27,145,8,2,13,27,145,4.533333333
2021/1/4,2,2,3,4,24,2,2,3,4,24,4.314285714
2021/1/5,2,0,3,3,27,2,0,3,3,27,4.514285714
2021/1/6,0,0,6,6,38,0,0,6,6,38,4.64
2021/1/7,6,0,4,7,67,6,0,4,7,67,4.535714286
2021/1/8,-1,1,1,9,67,1,1,1,9,67,4.772151899
2021/1/9,5,2,5,12,73,5,2,5,12,73,4.505154639
2021/1/10,12,1,4,16,163,12,1,4,16,163,4.617346939
2021/1/11,2,-2,2,8,41,2,2,2,8,41,4.527272727
2021/1/12,0,0,0,11,46,0,0,0,11,46,4.807017544
2021/1/13,-3,0,3,4,32,3,0,3,4,32,4.476190476
2021/1/14,4,1,3,11,44,4,1,3,11,44,4.428571429
2021/1/15,13,2,5,14,128,13,2,5,14,128,4.49382716
2021/1/16,4,2,6,11,123,4,2,6,11,123,4.691780822
2021/1/17,15,2,12,17,151,15,2,12,17,151,4.456852792
2021/1/18,7,0,3,10,77,7,0,3,10,77,4.546391753
2021/1/19,14,3,2,11,67,14,3,2,11,67,4.175257732
2021/1/20,3,1,0,4,34,3,1,0,4,34,4.547619048
2021/1/21,19,2,7,9,71,19,2,7,9,71,4.027777778
2021/1/22,10,1,5,7,58,10,1,5,7,58,4.259259259
2021/1/23,12,2,8,8,103,12,2,8,8,103,4.413533835
2021/1/24,8,1,9,8,67,8,1,9,8,67,4.344086022
2021/1/25,7,0,4,7,74,7,0,4,7,74,4.532608696
2021/1/26,12,-2,10,7,84,12,2,10,7,84,4.295652174
2021/1/27,7,1,-1,7,69,7,1,1,7,69,4.529411765
2021/1/28,15,1,5,13,102,15,1,5,13,102,4.367647059
2021/1/29,11,3,2,13,75,11,3,2,13,75,4.326923077
2021/1/30,12,3,6,15,79,12,3,6,15,79,4.269565217
2021/1/31,10,6,-2,11,83,10,6,2,11,83,4.348214286
2021/2/1,7,1,5,11,39,7,1,5,11,39,4.174603175
2021/2/2,27,5,11,12,86,27,5,11,12,86,3.886524823
2021/2/3,9,6,7,10,61,9,6,7,10,61,4.161290323
2021/2/4,7,7,0,16,144,7,7,0,16,144,4.626436782
2021/2/5,3,3,9,13,117,3,3,9,13,117,4.64137931
2021/2/6,11,5,10,27,115,11,5,10,27,115,4.369047619
2021/2/7,16,0,7,11,62,16,0,7,11,62,4.072916667
2021/2/8,3,0,4,8,102,3,0,4,8,102,4.760683761
2021/2/9,16,2,4,23,142,16,2,4,23,142,4.459893048
2021/2/10,5,1,7,8,142,5,1,7,8,142,4.72392638
2021/2/11,5,3,1,13,54,5,3,1,13,54,4.421052632
2021/2/12,11,3,0,9,60,11,3,0,9,60,4.253012048
2021/2/13,10,5,9,14,52,10,5,9,14,52,4.033333333
2021/2/14,5,3,3,9,59,5,3,3,9,59,4.443037975
